tpep_pickup_datetime,PU_count,PU_month,PU_day_of_month,PU_day_of_week,PU_hour,trip_distance,total_amount,lag_1h,lag_2h,lag_1d,lag_2d,ewma_3h,ewma_6h,ewma_12h,ewma_24h
2022-03-26 22:00:00,5943,3,26,5,22,2.5349958,17.57176,5763.0,5922.0,5953.0,5389.0,6014.330113824267,6099.26065808706,5758.214223965715,5186.246255782016
2022-03-26 23:00:00,5605,3,26,5,23,2.7399395,18.11545,5943.0,5763.0,5407.0,3977.0,5809.665056912134,5958.043327205043,5734.642804894066,5219.746555319455
2022-03-27 00:00:00,4654,3,27,6,0,2.7768457,17.89813,5605.0,5943.0,4637.0,2696.0,5231.832528456067,5585.459519432175,5568.390065679594,5174.486830893899
2022-03-27 01:00:00,3741,3,27,6,1,2.8582277,17.932032,4654.0,5605.0,3796.0,1342.0,4486.4162642280335,5058.471085308696,5287.253132498118,5059.807884422387
2022-03-27 02:00:00,2977,3,27,6,2,3.0220423,18.1541,3741.0,4654.0,2960.0,763.0,3731.7081321140167,4463.765060934783,4931.829573652254,4893.183253668596
2022-03-27 03:00:00,2145,3,27,6,3,3.2944336,18.884699,2977.0,3741.0,2029.0,483.0,2938.3540660570084,3801.2607578105594,4503.086562321138,4673.3285933751085
2022-03-27 04:00:00,1095,3,27,6,4,3.8769407,20.4902,2145.0,2977.0,1065.0,354.0,2016.6770330285042,3028.0433984361134,3978.765552733271,4387.0623059050995
2022-03-27 05:00:00,432,3,27,6,5,5.8634725,27.428032,1095.0,2145.0,451.0,519.0,1224.3385165142522,2286.3167131686523,3433.1093138512288,4070.6573214326913
2022-03-27 06:00:00,520,3,27,6,6,5.1623845,24.798845,432.0,1095.0,694.0,1346.0,872.1692582571261,1781.6547951204657,2984.9386501818085,3786.604735718076
2022-03-27 07:00:00,853,3,27,6,7,4.2740912,21.972532,520.0,432.0,1094.0,2634.0,862.584629128563,1516.3248536574756,2656.9480886153765,3551.9163568606295
2022-03-27 08:00:00,1422,3,27,6,8,3.7175245,19.986343,853.0,520.0,1858.0,3836.0,1142.2923145642815,1489.3748954696257,2466.9560749822413,3381.523048311779
